21,,"http://maps.google.com/maps/api/staticmap?sensor=false&center=40.724209,-73.996983&zoom=21&size=400x400&path=color:0xff0000ff|weight:5|40.724187,-73.997006|40.724187,-73.996960|40.724232,-73.996960|40.724232,-73.997006|40.724187,-73.997006",,
22,,"http://maps.google.com/maps/api/staticmap?sensor=false&center=40.724201,-73.996994&zoom=22&size=400x400&path=color:0xff0000ff|weight:5|40.724190,-73.997006|40.724190,-73.996983|40.724213,-73.996983|40.724213,-73.997006|40.724190,-73.997006",,
23,,"http://maps.google.com/maps/api/staticmap?sensor=false&center=40.724197,-73.997000&zoom=23&size=400x400&path=color:0xff0000ff|weight:5|40.724192,-73.997006|40.724192,-73.996994|40.724203,-73.996994|40.724203,-73.997006|40.724192,-73.997006",,
24,,"http://maps.google.com/maps/api/staticmap?sensor=false&center=40.724199,-73.996997&zoom=24&size=400x400&path=color:0xff0000ff|weight:5|40.724196,-73.997000|40.724196,-73.996994|40.724202,-73.996994|40.724202,-73.997000|40.724196,-73.997000",,
25,,"http://maps.google.com/maps/api/staticmap?sensor=false&center=40.724201,-73.996999&zoom=25&size=400x400&path=color:0xff0000ff|weight:5|40.724199,-73.997000|40.724199,-73.996997|40.724202,-73.996997|40.724202,-73.997000|40.724199,-73.997000",,
26,,"http://maps.google.com/maps/api/staticmap?sensor=false&center=40.724200,-73.996999&zoom=26&size=400x400&path=color:0xff0000ff|weight:5|40.724199,-73.997000|40.724199,-73.996999|40.724201,-73.996999|40.724201,-73.997000|40.724199,-73.997000",,
27,,"http://maps.google.com/maps/api/staticmap?sensor=false&center=40.724200,-73.997000&zoom=27&size=400x400&path=color:0xff0000ff|weight:5|40.724200,-73.997000|40.724200,-73.996999|40.724200,-73.996999|40.724200,-73.997000|40.724200,-73.997000",,
28,,"http://maps.google.com/maps/api/staticmap?sensor=false&center=40.724200,-73.997000&zoom=28&size=400x400&path=color:0xff0000ff|weight:5|40.724200,-73.997000|40.724200,-73.997000|40.724200,-73.997000|40.724200,-73.997000|40.724200,-73.997000",,
29,,"http://maps.google.com/maps/api/staticmap?sensor=false&center=40.724200,-73.997000&zoom=29&size=400x400&path=color:0xff0000ff|weight:5|40.724200,-73.997000|40.724200,-73.997000|40.724200,-73.997000|40.724200,-73.997000|40.724200,-73.997000",,
30,,"http://maps.google.com/maps/api/staticmap?sensor=false&center=40.724200,-73.997000&zoom=30&size=400x400&path=color:0xff0000ff|weight:5|40.724200,-73.997000|40.724200,-73.997000|40.724200,-73.997000|40.724200,-73.997000|40.724200,-73.997000",,
